"fid","geom","nombre"
"1054","LINESTRING (-99.6753662824647 19.2836410115546,-99.6757686138146 19.2829068098245,-99.67590808868 19.2826688264823,-99.6761494874935 19.2822181762401,-99.6765089035016 19.2814991586784,-99.6766108274497 19.2813118085087,-99.6767181158043 19.2810738228573,-99.6769863367042 19.2801370674587,-99.6772544183497 19.2792463416838)","Paseo Universidad"
"2108","LINESTRING (-99.671176671978 19.2797623637975,-99.6727910098235 19.2822724037301)","Paseo Vicente Guerrero"
"2863","LINESTRING (-99.669304490085 19.2762228909745,-99.6710211038571 19.2760456621499,-99.6712464094152 19.2760203437247)","Lago De Texcoco"
