"fid","geom"
"1","POLYGON ((-99.6817008428613 19.2828765846678,-99.6821857889906 19.2828452166613,-99.6822497175382 19.2837656227895,-99.6817691400704 19.283796539526,-99.6817008428613 19.2828765846678))"
"2","POLYGON ((-99.6761949706116 19.2812324100901,-99.6763908863071 19.2815447303032,-99.6761161805715 19.2820542605935,-99.6757739782301 19.2814789046179,-99.6761949706116 19.2812324100901))"
"4","POLYGON ((-99.6736766090601 19.2785893338608,-99.6746528148641 19.2781318865298,-99.6748512983358 19.2785572299904,-99.6738975964355 19.2790280354212,-99.6736766090601 19.2785893338608))"
"5","POLYGON ((-99.6731816848477 19.2798645344799,-99.673665761948 19.2796357745214,-99.6740573644669 19.2804560712441,-99.6735910100651 19.2806846060811,-99.6731816848477 19.2798645344799))"
"6","POLYGON ((-99.6819754911681 19.2801248009104,-99.6825951197273 19.2800787262538,-99.6826560709747 19.2809766964597,-99.6820505541512 19.2810181638262,-99.6819754911681 19.2801248009104))"
